id,status,name,type,plant_name,current_operator,co-owner,constructed_date,latitude,longitude
BCGP0007362,Active,WHITECAP BOUNDARYLAKE 02-25-085-14 005,GP,Chinook Boundary,Whitecap Resources Inc.,100.0% - Whitecap Resources Inc.,2004-09-01,56.3936,-120.06696
BCGP0007383,Discontinued,CVE ENERGY BRASSEY D-013-F/093-P-10 004,GP,Brassey,Cenovus Energy Inc.,100.0% - Cenovus Energy Inc.,2004-10-28,55.59578,-120.7827
BCGP0007435,Active,HUSKY FIRE CREEK B-099-H/094-I-08 003,GP,Fire Creek,Husky Oil Operations Limited,100.0% - Husky Oil Operations Limited,2005-04-16,58.41245,-120.10762
BCGP0007442,Active,ALTAGAS BLAIR D-058-F/094-B-16 003,GP,Blair,Altagas Ltd.,100.0% - Altagas Ltd.,2005-10-01,56.87907,-122.34521
BCGP0007463,Active,SHELL BRASSEY 07-34-077-19 001,GP,Brassey,Shell Canada Limited,100.0% - Shell Canada Limited,2006-05-01,55.71409,-120.85513
BCGP0007466,Active,VMGPI CUTBANK C-064-A/093-P-08 002,GP,Steeprock,Veresen Midstream General Partner Inc.,100.0% - Veresen Midstream General Partner Inc.,2006-10-01,55.30412,-120.04516
BCGP0007472,Active,HARVEST SHEKILIE B-046-A/094-I-16 002,GP,Shekilie,Harvest Operations Corp.,50.0% - Enerplus Resources Corporation; 50.0% - Harvest Operations Corp.,2006-05-01,58.78754,-120.07023
BCGP0007473,Active,HARVEST SHEKILIE B-024-A/094-I-16 003,GP,Shekilie,Harvest Operations Corp.,50.0% - Enermark Inc.; 50.0% - Harvest Operations Corp.,2006-01-24,58.77087,-120.04523
BCGP0007633,Active,HARVEST HAYRIVER B-076-H/094-I-09 004,GP,Hay River,Harvest Operations Corp.,100.0% - Harvest Operations Corp.,2008-02-01,58.64585,-120.0702
BCGP0007652,Active,NORTHRIVER DOE 02-25-080-15 001,GP,West Doe,Northriver Midstream Inc.,100.0% - Northriver Midstream Inc.,2007-08-01,55.95796,-120.20245
