id,status,name,type,plant_name,current_operator,original_operator,co-owner,constructed_date,activated_date,field_name,latitude,longitude,location
ABGP0094290,Suspended,Choice 4-5-041-09W4 Gas Plant,GP,Choice,Ovintiv Canada Ulc,,100.0% - Sanling Energy Ltd.,,,,52.49407,-111.27331,04-05-041-09W4M
ABGP0094322,Active,Bashaw 12-32-41-20W4 Gas Plant,GP,Bashaw,Long Run Exploration Ltd.,,100.0% - Long Run Exploration Ltd.,2007-01-01,,,52.57445,-112.85641,12-32-041-20W4M
ABGP0094379,Active,Jupiter Kakwa 01-35-060-05W6 Gp,GP,Kakwa,Tourmaline Oil Corp.,,50.0% - Jupiter Resources Inc.; 50.0% - Tourmaline Oil Corp.,2006-01-01,,,54.22684,-118.62814,01-35-060-05W6M
ABGP0094382,Active,7G Lator 01-21-63-02W6 Gas Plant,GP,Scp Lator# 1,Arc Resources Ltd.,,100.0% - Arc Resources Ltd.,,,,54.45974,-118.23009,01-21-063-02W6M
ABGP0094954,Active,Resthaven 8-11-60-3W6 Gp,GP,Resthaven Deep Cut Plant,Pembina Gas Services Ltd.,,15.0% - Conocophillips Canada Limited; 10.0% - Paramount Resources Ltd.; 5.0% - Canadian Natural Resources Limited; 70.0% - Pembina Gas Services Ltd.,2006-01-01,,,54.17226,-118.32829,08-11-060-03W6M
ABGP0094957,Suspended,Encana Resthaven 7-11-60-3W6 Gp,GP,Resthaven,Tourmaline Oil Corp.,,100.0% - Tourmaline Oil Corp.,2005-01-01,,,54.17227,-118.33446,07-11-060-03W6M
ABGP0095425,Suspended,Angle Edson 10-28 Gas Plant,GP,Edson,Bonavista Energy Corporation,,100.0% - Bonavista Energy Corporation,2007-01-01,,,53.60839,-116.29534,10-28-053-16W5M
ABGP0095721,Active,Gem Gas Plant,GP,Gem,Torxen Energy Ltd.,,100.0% - Torxen Energy Ltd.,,,,50.97779,-112.24066,16-24-023-17W4M
ABGP0095741,Active,Velvet Edson 12-15-53-15W5 Gas Plant,GP,Edson,Velvet Energy Ltd.,,100.0% - Velvet Energy Ltd.,2009-01-01,,,53.57945,-116.13579,12-15-053-15W5M
ABGP0095750,Active,Bow Island 6-26-11-11W4,GP,Bow Island,Canadian Natural Resources Limited,,100.0% - Canadian Natural Resources Limited,1996-01-01,,,49.93704,-111.40637,06-26-011-11W4M
ABGP0096078,Suspended,Altagas Acme,GP,Acme,Altagas Ltd.,,100.0% - Ember Resources Inc.,,,,51.47237,-113.64132,16-07-029-26W4M
ABGP0096335,Active,Duvernay Sundance Gas Plant 15-7,GP,Sundance,Tourmaline Oil Corp.,,100.0% - Tourmaline Oil Corp.,2006-01-01,,,53.65556,-117.08161,15-07-054-21W5M
ABGP0096366,Suspended,Pine Creek 13-9-55-18W5 Gas Plant,GP,Pine Creek,Long Run Exploration Ltd.,,100.0% - Long Run Exploration Ltd.,,,,53.74286,-116.62421,13-09-055-18W5M
ABGP0096897,Suspended,Marten Hills 1-26-73-1 W5 Gas Plant,GP,Marten Hills,Spoke Resources Ltd.,,100.0% - Spoke Resources Ltd.,2008-01-01,,,55.34696,-114.03096,01-26-073-01W5M
ABGP0096963,Suspended,Sunnynook 13-24-26-12W4,GP,Sunnynook,Canadian Natural Resources Limited,,100.0% - Canadian Natural Resources Limited,,,,51.23969,-111.56019,13-24-026-12W4M
ABGP0097389,Active,Trilogy Smoky River 06-16 Gpl,GP,Smoky River,Paramount Resources Ltd.,,100.0% - Paramount Resources Ltd.,,,,54.53626,-117.11706,06-16-064-21W5M
ABGP0097445,Active,Duvernay Oldman Gas Plant 10-24,GP,Oldman,Tourmaline Oil Corp.,,100.0% - Tourmaline Oil Corp.,2006-01-01,,,53.8556,-116.98349,10-24-056-21W5M
ABGP0097476,Active,Bonavista Chinchaga 08-25,GP,Chinchaga,Direct Oil & Gas Inc.,,100.0% - Direct Oil & Gas Inc.,2008-01-01,,,57.35724,-119.46699,08-25-096-10W6M
ABGP0097699,Suspended,Galloway 9-34-53-20W5 Gasplant,GP,Galloway,Peyto Exploration & Development Corp.,,89.0% - Peyto Exploration & Development Corp.; 11.0% - Sinopec Daylight Energy Ltd.,2007-01-01,,,53.62298,-116.85439,09-34-053-20W5M
ABGP0098003,Suspended,Husky 09-30 Abgp,GP,Callihoo,Husky Oil Operations Limited,,100.0% - Husky Oil Operations Limited,2003-01-01,,,53.69575,-113.96227,09-30-054-27W4M
ABGP0098419,New,Golden Rod 6-22-41-26W4,GP,Golden Rod,Goldenrod Resources Inc.,,100.0% - Goldenrod Resources Inc.,,,,52.54131,-113.66634,06-22-041-26W4M
ABGP0098480,Suspended,Keyera Willesden 5-14 Refridge Plant,GP,Willesden Green,Keyera Energy Ltd.,,100.0% - Keyera Energy Ltd.,,,,52.35401,-114.62232,05-14-039-05W5M
ABGP0098678,Active,Boundary Lake Central 10-19 Gp,GP,Boundry Hill,Enercapita Energy Ltd.,,100.0% - Enercapita Energy Ltd.,2008-01-01,,,56.47357,-119.72428,10-19-086-11W6M
ABGP0098890,Suspended,Vero Pine Creek 16-23-54-17W5 Gp,GP,Pine Creek,Velvet Energy Ltd.,,100.0% - Velvet Energy Ltd.,,,,53.68454,-116.38791,16-23-054-17W5M
