id,licensed_capacity_of_raw_gas_mcf/d,licensed_capacity_of_sales_gas_mcf/d,licensed_capacity_of_ethane_c2_bbl/d,licensed_capacity_of_ethane_plus_c2+_bbl/d,licensed_capacity_of_propane_c3_bbl/d,licensed_capacity_of_butane_c4_bbl/d,licensed_capacity_of_pentane_plus_c5+_bbl/d,licensed_capacity_of_ngl_bbl/d,licensed_capacity_of_lpg_bbl/d,licensed_capacity_of_sulphur_ton/d,design_capacity_of_raw_gas_mcf/d,design_capacity_of_sales_gas_mcf/d,design_capacity_of_oil_bbl/d,design_capacity_of_ethane_c2_bbl/d,design_capacity_of_propane_c3_bbl/d,design_capacity_of_butane_c4_bbl/d,design_capacity_of_pentane_plus_c5+_bbl/d,design_capacity_of_ngl_bbl/d,design_capacity_of_sulphur_ton/d
ABGP0001061,,,,,,,,,,,,,,,,,,,
ABGP0001062,26132.85,21188.8,0.0,0.0,0.0,0.0,3605.19,,2458.62,,34608.37,31783.2,12585.74,0.0,0.0,0.0,629.29,1258.57,0.0
ABGP0001063,3178.32,,,,,,,,,,5826.92,1765.73,0.0,14.79,0.31,0.31,0.31,0.0,0.0
ABGP0001064,,,,,,,,,,,,,,,,,,,
ABGP0001065,12006.99,9888.11,,,,,,,202.63,,15008.73,15008.73,0.0,,,,0.0,409.04,0.99
ABGP0001066,,,,,,,,,,,,,,,,,,,
ABGP0001067,29311.17,,,,,,,,,,28746.14,25991.59,0.0,0.0,786.61,566.36,440.5,0.0,0.0
ABGP0001068,8828.67,8298.95,0.0,0.0,0.0,0.0,31.46,,0.0,,6356.64,6356.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001069,172158.98,132500.61,16392.93,0.0,0.0,0.0,0.0,,13617.77,,70629.32,31783.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001070,70276.18,66391.57,,,1101.25,736.27,521.05,,,0.0,47674.79,42377.59,0.0,0.0,881.0,755.14,377.57,0.0,0.0
ABGP0001071,2118.88,,,,,,,,,,,,,,,,,,
ABGP0001072,11936.36,,,,,,,,,,7062.93,7062.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001073,3884.61,,,,,,,,,,,,,,,,,,
ABGP0001074,258609.27,224883.77,19268.77,0.0,12396.95,7142.41,7048.01,,0.0,,140000.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001075,22919.22,,,,,,,,,,24013.97,21541.94,0.0,0.0,679.63,0.0,0.0,0.0,0.0
ABGP0001076,56451.19,55890.75,0.0,0.0,0.0,0.0,0.0,,566.36,,22954.53,22954.53,0.0,0.0,0.0,0.0,314.64,0.0,0.0
ABGP0001077,,,,,,,,,,,,,,,,,,,
ABGP0001078,24999.96,23750.17,0.0,0.0,0.0,0.0,0.0,,409.67,,,,,,,,,,
ABGP0001079,181093.59,113430.7,0.0,0.0,0.0,0.0,3656.16,,397.71,,181093.59,113430.7,0.0,0.0,0.0,0.0,3656.16,0.0,385.81
ABGP0001080,6180.07,5509.09,0.0,0.0,0.0,0.0,0.0,,359.32,,3178.32,3178.32,1415.9,0.0,0.0,0.0,0.0,314.64,0.0
ABGP0001081,40011.51,40011.51,,,,,,,1165.44,247.36,40011.51,30017.46,7551.44,0.0,0.0,0.0,0.0,1573.22,259.04
ABGP0001082,14196.49,,,,,,,,,,17480.76,14302.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001083,2825.17,,,,,,,,,,6356.64,6356.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001084,372569.69,353146.62,0.0,0.0,0.0,0.0,3146.43,,8810.02,379.64,400000.0,400000.0,0.0,0.0,0.0,0.0,3146.43,5034.3,330.69
ABGP0001085,18010.48,,,,,,,,,,1949.37,1697.22,0.0,0.0,0.0,0.0,0.0,75.51,0.0
ABGP0001086,16986.35,16986.35,0.0,0.0,0.0,0.0,0.0,,62.93,,4944.05,4414.33,12.59,0.0,0.0,0.0,0.0,62.93,0.0
ABGP0001087,,,,,,,,,,,,,,,,,,,
ABGP0001088,20482.5,,,,,,,,,,14999.9,13000.03,125.86,0.0,50.34,100.69,0.0,31.46,0.0
ABGP0001089,86167.78,,,,,,,,,,86167.78,74160.79,0.0,0.0,0.0,0.0,0.0,1730.54,0.0
ABGP0001090,33619.56,,,,,,,,,,,,,,,,,,
ABGP0001091,48734.23,45909.06,,,,,,,629.29,,20436.6,19776.21,0.0,0.0,0.0,0.0,0.0,1493.74,0.0
ABGP0001092,1977.62,,,,,,,,,,,,,,,,,,
ABGP0001093,9005.24,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001094,21541.94,,,,,,,,,,,,,,,,,,
ABGP0001095,30017.46,,,,,,,,,,23998.08,22970.42,,,,,,555.85,
ABGP0001096,34431.8,33619.56,0.0,0.0,0.0,0.0,415.33,,585.24,,34431.8,33195.78,0.0,0.0,0.0,0.0,685.92,0.0,0.0
ABGP0001097,109440.14,,,,,,,,,,88992.95,88992.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001098,4414.33,,,,,,,,,,,,,,,,,,
ABGP0001099,,,,,,,,,,,,,,,,,,,
ABGP0001100,55232.13,45238.08,,,,,490.84,,,0.0,49999.91,35000.01,,,,,,188.79,
ABGP0001101,55726.54,,,,,,,,,,,,,,,,,,
ABGP0001102,181093.59,113430.7,0.0,0.0,0.0,0.0,3656.16,,397.71,,,,,,,,,,
ABGP0001103,3990.56,3884.61,,,,,,,69.22,,3531.47,3531.47,0.0,0.0,0.0,0.0,0.0,125.86,0.0
ABGP0001104,37433.54,44567.1,0.0,0.0,1006.86,622.99,1447.36,,0.0,9.2,,,,,,,,,
ABGP0001105,236608.24,188650.93,0.0,27776.73,0.0,0.0,0.0,,6922.16,,211887.97,190699.18,47196.53,34610.78,0.0,3964.51,4090.37,,0.0
ABGP0001106,15185.3,,,,,,,,,,19776.21,19776.21,0.0,0.0,0.0,0.0,0.0,377.57,0.0
ABGP0001107,394782.61,320021.47,,,1931.91,1302.62,20917.5,,14473.6,1201.52,197762.11,176573.31,0.0,0.0,6292.87,5034.3,12585.74,7551.44,1047.2
ABGP0001108,218244.61,195996.38,,,,,9074.32,,3146.43,,217999.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001109,1236.01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001110,19423.06,,,,,,,,,,15891.6,14832.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001111,2118.88,,,,,,,,,,,,,,,,,,
ABGP0001112,22672.01,18098.76,0.0,0.0,0.0,0.0,0.0,,534.89,52.66,3178.32,1589.16,14141.27,0.0,0.0,0.0,0.0,377.57,54.91
ABGP0001113,447719.29,287178.84,0.0,0.0,0.0,0.0,31464.35,,6292.87,,299221.14,287178.84,0.0,0.0,,183.75,35019.82,3146.43,55.12
ABGP0001114,25002.78,22732.05,0.0,0.0,178.72,229.69,125.23,,0.0,,25002.78,22732.05,0.0,0.0,178.72,229.69,125.23,0.0,0.0
ABGP0001115,64661.15,61094.37,0.0,0.0,0.0,0.0,456.23,,0.0,,64661.15,64661.15,0.0,0.0,0.0,0.0,251.71,0.0,0.0
ABGP0001116,28251.73,27722.01,0.0,0.0,0.0,0.0,226.54,,88.1,0.0,11653.84,11653.84,0.0,0.0,0.0,0.0,0.0,94.39,0.0
ABGP0001117,34961.52,34961.52,,,,,,,,,24872.12,24872.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
