id,raw_gas_mcf/d,sales_gas_mcf/d,ethane__c2_bbl/d,propane__c3_bbl/d,butane__c4_bbl/d,pentane_plus__c5+_bbl/d,natural_gas_liquids_bbl/d,sulphur_ton/d,sub_type,location,injection_mcf/d,shrinkage_mcf/d,fuel_mcf/d,flared_mcf/d,other_mcf/d
ABGP0001059,99.23,74.98,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,06-33-030-19W4M,0.0,0.0,15.54,4.24,0.0
ABGP0001060,388164.53,324441.04,0.0,0.0,0.0,2882.4,31981.34,0.0,Gas Plant Sulphur Recovery,09-27-031-04W5M,0.0,51779.61,9565.15,409.76,0.0
ABGP0001061,5122.27,4920.16,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,01-24-041-03W5M,0.0,213.3,77.57,0.0,0.0
ABGP0001062,4858.16,3632.28,0.0,0.0,0.0,0.0,333.81,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,04-23-061-12W5M,0.0,547.72,965.91,307.92,0.0
ABGP0001063,581.1,504.66,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,13-05-039-08W4M,0.0,0.57,95.58,0.0,0.0
ABGP0001064,1028.68,909.3,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,07-27-040-03W5M,0.0,4.1,104.35,0.0,10.94
ABGP0001065,2808.43,2038.11,0.0,0.0,0.0,0.0,13.15,0.0,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,12-02-013-19W4M,0.0,176.0,513.77,0.57,0.0
ABGP0001066,,,,,,,,,Gas Plant Sweet,01-29-027-05W4M,,,,,
ABGP0001067,43.29,0.0,0.0,4.85,28.11,0.0,0.0,0.0,Gas Plant Sweet,01-21-038-02W5M,0.0,19.37,9.34,22.78,0.0
ABGP0001068,502.17,398.82,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,07-15-060-02W5M,0.0,0.0,82.4,0.0,0.0
ABGP0001069,11964.15,6121.74,0.0,0.0,0.0,0.0,2773.84,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,15-25-064-11W5M,2609.3,4117.58,1781.8,93.53,0.0
ABGP0001070,26032.26,22423.79,0.0,1968.98,1075.25,0.0,0.0,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,14-32-037-03W5M,0.0,1620.15,1147.61,798.79,0.0
ABGP0001071,5364.75,4487.58,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,10-12-041-03W5M,0.0,457.04,161.65,0.0,258.48
ABGP0001072,1300.95,1290.35,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,10-12-036-08W4M,0.0,0.0,21.19,0.0,0.0
ABGP0001073,1363.26,0.0,0.0,0.0,0.0,24.81,33.25,0.0,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,10-10-041-03W5M,0.0,117.79,136.36,0.0,0.0
ABGP0001074,36.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,03-17-047-27W4M,0.0,0.0,36.11,0.0,0.0
ABGP0001075,17209.97,16212.28,0.0,0.0,0.0,105.13,607.85,0.0,Gas Plant Sweet,02-18-052-11W5M,0.0,1076.98,561.73,5.13,0.0
ABGP0001076,10044.17,9074.62,0.0,0.0,0.0,66.77,165.38,0.0,Gas Plant Sweet,01-20-028-21W4M,0.0,218.72,22.21,11.39,0.0
ABGP0001077,2367.45,2200.45,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,08-26-040-03W5M,0.0,29.62,95.12,48.76,0.0
ABGP0001078,1112.65,937.72,0.0,0.0,0.0,0.48,16.7,0.0,Gas Plant Sweet,10-33-028-15W4M,0.0,22.72,83.22,0.0,0.0
ABGP0001079,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,Gas Plant Sulphur Recovery,09-14-028-01W5M,0.0,0.0,0.0,0.0,0.0
ABGP0001080,1307.78,1022.53,0.0,0.0,0.0,11.14,38.71,0.0,Gas Plant Sweet,04-24-056-05W5M,0.0,64.14,98.2,13.67,0.0
ABGP0001081,400.88,400.88,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sulphur Recovery,04-12-034-26W4M,0.0,0.0,0.0,0.0,0.0
ABGP0001082,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,Gas Plant Sweet,01-17-042-06W5M,0.0,0.0,0.0,0.0,0.0
ABGP0001083,1022.01,877.1,0.0,0.0,0.0,19.7,0.0,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,02-03-031-04W5M,0.0,58.27,38.14,28.49,0.0
ABGP0001084,125363.86,115833.57,0.0,0.0,0.0,256.28,3661.17,0.0,Gas Plant Sulphur Recovery,04-11-053-18W5M,0.0,5891.97,5693.86,302.57,0.0
ABGP0001085,989.38,1006.01,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,03-02-050-06W5M,0.0,10.14,42.72,0.0,0.0
ABGP0001086,1672.78,1419.54,0.0,0.0,0.0,19.89,42.73,0.0,Gas Plant Sweet,15-20-034-08W4M,0.0,54.45,0.0,0.0,0.0
ABGP0001087,44.31,20.96,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,14-36-028-05W4M,0.0,0.0,2.51,0.0,20.85
ABGP0001088,9736.02,8490.56,0.0,49.69,0.0,5.6,94.62,0.0,Gas Plant Sweet,05-35-048-04W5M,0.0,343.01,488.71,0.57,0.0
ABGP0001089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sulphur Recovery,13-06-057-08W5M,0.0,0.0,0.0,11.54,0.0
ABGP0001090,8716.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,10-27-031-04W5M,0.0,5787.28,0.0,0.0,2929.41
ABGP0001091,16522.59,15659.32,0.0,0.0,0.0,107.69,272.18,0.0,Gas Plant Sweet,01-18-025-17W4M,0.0,355.99,443.71,2.85,0.0
ABGP0001092,,,,,,,,,Gas Plant Sweet,08-20-030-03W5M,,,,,
ABGP0001093,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,Gas Plant Sweet,09-22-039-08W5M,0.0,0.0,0.0,0.0,0.0
ABGP0001094,15178.01,10461.34,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sulphur Recovery,06-23-030-28W4M,0.0,2704.88,1486.06,0.0,525.73
ABGP0001095,11483.08,10271.21,0.0,0.0,0.0,111.77,634.08,0.0,Gas Plant Sweet,04-33-031-23W4M,0.0,895.17,88.06,4.21,0.0
ABGP0001096,9726.8,9085.89,0.0,0.0,0.0,56.29,332.49,0.0,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,01-29-043-04W5M,0.0,511.27,80.2,10.14,0.0
ABGP0001097,19364.28,17677.72,0.0,0.0,0.0,132.48,368.8,0.0,Gas Plant Sweet,08-11-031-21W4M,0.0,576.54,432.21,12.64,0.0
ABGP0001098,1614.7,1447.55,0.0,0.0,0.0,0.0,41.18,0.0,Gas Plant Sweet,11-12-041-04W5M,0.0,46.97,52.97,0.35,66.86
ABGP0001099,9665.74,8460.22,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,12-36-034-06W5M,0.0,751.14,347.14,0.0,107.24
ABGP0001100,8386.06,6065.88,0.0,0.0,0.0,44.26,0.0,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,08-24-015-22W4M,1219.65,51.09,936.66,117.48,0.0
ABGP0001101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,Gas Plant Sulphur Recovery,06-10-061-22W5M,0.0,0.0,0.0,0.0,0.0
ABGP0001102,,,,,,,,,Gas Plant Sweet,01-14-028-01W5M,,,,,
ABGP0001103,1814.95,1724.84,0.0,0.0,0.0,22.05,58.81,0.0,Gas Plant Sweet,10-12-038-03W5M,0.0,78.03,0.0,0.0,0.0
ABGP0001104,26198.42,25830.44,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sulphur Recovery,03-20-034-04W5M,0.0,0.0,452.62,18.6,0.0
ABGP0001105,104978.87,82231.1,0.0,0.0,0.0,69.4,1972.19,0.0,Gas Plant Sulphur Recovery,10-10-109-08W6M,0.0,3077.16,1575.6,85.78,0.0
ABGP0001106,0.0,0.0,0.0,0.0,0.0,1.75,6.68,0.0,Gas Plant Sweet,05-19-035-22W4M,0.0,9.11,0.0,0.0,0.0
ABGP0001107,143446.45,122793.98,0.0,0.0,0.0,0.0,6320.98,0.0,Gas Plant Sulphur Recovery,01-12-062-20W5M,0.0,12138.22,6905.95,399.85,258.59
ABGP0001108,150969.84,144173.02,0.0,0.0,0.0,526.19,2698.75,0.0,Gas Plant Sulphur Recovery,06-12-046-14W5M,0.0,5757.88,1542.57,520.95,0.0
ABGP0001109,118.02,8.2,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,12-01-030-21W4M,0.0,15.04,94.67,0.11,0.0
ABGP0001110,10868.14,9879.79,0.0,0.0,0.0,146.08,496.57,0.0,Gas Plant Sweet,01-20-039-07W5M,0.0,673.03,654.92,28.71,0.0
ABGP0001111,515.48,477.2,0.0,0.0,0.0,5.28,0.0,0.0,Gas Plant Sweet,12-19-064-11W5M,0.0,5.7,46.59,5.92,0.0
ABGP0001112,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sulphur Recovery,02-02-069-22W5M,0.0,0.0,3.76,0.0,0.0
ABGP0001113,213311.95,191807.15,0.0,0.0,0.0,68.53,3999.3,0.0,Gas Plant Sulphur Recovery,09-06-063-25W5M,0.0,20236.33,4184.79,647.17,0.0
ABGP0001114,9644.66,8030.21,0.0,13.19,30.94,0.0,0.0,0.0,Gas Plant Acid Gas Injection,04-33-017-12W4M,0.0,177.71,472.19,69.6,0.0
ABGP0001115,6449.14,5460.44,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,12-26-059-11W5M,0.0,34.97,701.96,133.28,0.0
ABGP0001116,2917.56,2860.15,0.0,0.0,0.0,18.7,45.35,0.0,Gas Plant Sweet,02-02-039-11W4M,0.0,69.03,93.3,2.16,0.0
ABGP0001117,1873.27,1540.63,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Injection,14-22-074-24W4M,0.0,2.16,300.06,0.0,0.0
ABGP0001118,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,Gas Plant Sweet,11-17-034-03W5M,0.0,0.0,0.0,0.0,0.0
ABGP0001119,10429.79,9932.99,0.0,0.0,0.0,28.97,77.28,0.0,Gas Plant Sweet,02-05-028-17W4M,0.0,103.21,227.72,2.39,0.0
ABGP0001120,,,,,,,,,Gas Plant Sweet,01-12-062-20W5M,,,,,
ABGP0001121,47783.47,46131.32,0.0,0.0,0.0,92.08,476.51,0.0,Gas Plant Sulphur Recovery,06-10-044-12W5M,0.0,1296.62,792.07,155.38,0.0
ABGP0001122,43683.33,38511.44,0.0,1576.97,1074.05,0.0,0.0,0.0,Gas Plant Sweet,01-06-041-07W5M,0.0,3776.28,1807.43,14.58,0.0
ABGP0001123,2360.16,1761.29,0.0,0.0,0.0,0.0,167.13,0.0,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,10-30-072-04W5M,228.52,256.32,410.11,11.73,0.0
ABGP0001124,1931.36,1670.03,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,05-31-045-20W4M,0.0,112.89,101.35,0.0,47.09
ABGP0001125,13654.02,12805.89,0.0,0.0,0.0,0.0,193.8,0.0,Gas Plant Sweet,15-07-064-23W5M,0.0,282.97,338.34,1.25,0.0
ABGP0001126,225.07,173.75,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,16-28-038-15W4M,0.0,0.0,2.59,0.35,48.38
ABGP0001127,545.55,344.15,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,09-26-059-09W5M,0.0,2.73,162.45,25.4,0.0
ABGP0001128,466.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Injection,06-33-029-24W4M,0.0,0.0,5.47,0.0,460.91
