id,status,name,type,plant_name,current_operator,co-owner,constructed_date,latitude,longitude,sub_type,location
ABGP0001902,Active,Empress 1-5 Gas Plant,GP,Empress Straddle Plant,Plains Midstream Canada Ulc,100.0% - Plains Midstream Canada Ulc,1971-01-01,50.67647,-110.02632,Gas Plant Mainline Straddle,04-12-020-01W4M
ABGP0001903,Active,Cochrane Extraction Plant,GP,Cochrane Straddle Plant,Inter Pipeline,100.0% - Inter Pipeline Ltd.,1970-01-01,51.22504,-114.49201,Gas Plant Mainline Straddle,16-16-026-04W5M
ABGP0001906,Active,Amoco Ellerslie,GP,Edmonton Ethane Extraction,Altagas Ltd.,100.0% - Altagas Ltd.,1978-01-01,53.45436,-113.48695,Gas Plant Mainline Straddle,04-04-052-24W4M
ABGP0001907,Abandoned,Atco Midstream Empress (3),GP,Empress Gas Liquids Joint Venture Straddle Plant,Atco Next Energy Ltd.,,1983-01-01,50.67709,-110.053,Gas Plant Mainline Straddle,01-10-020-01W4M
ABGP0001908,Suspended,Atco Fort Saskatchewan,GP,Fort Saskatchewan Straddle Plant,Tidewater Midstream And Infrastructure Ltd.,100.0% - Tidewater Midstream And Infrastructure Ltd.,1984-01-01,53.71687,-113.18397,Gas Plant Mainline Straddle,02-03-055-22W4M
ABGP0001909,Active,Pancdn Empress,GP,Empress Straddle Plant,Pembina Pipeline,100.0% - 2354890 Alberta Ltd.,1996-01-01,50.67312,-110.02831,Gas Plant Mainline Straddle,16-02-020-01W4M
ABGP0001910,Active,Veep 08-05-054-26W4 Gas Plant,GP,Villeneuve Straddle Plant,Tidewater Midstream And Infrastructure Ltd.,100.0% - Tidewater Midstream And Infrastructure Ltd.,1997-01-01,53.63523,-113.7897,Gas Plant Sweet,08-05-054-26W4M
ABGP0001935,Suspended,Husky Windfall,GP,Windfall,Cenovus Energy Inc.,100.0% - Pgi Processing Ulc,1965-01-01,54.18692,-116.20467,Gas Plant Sweet,08-17-060-15W5M
ABGP0001936,Unknown,Suncor (Now 1991),GP,,Suncor Energy Inc.,100.0% - Suncor Energy Inc.,,56.94706,-111.29538,,01-01-092-09W4M
ABGP0001937,Unknown,Procor Lynton Sulphur Forming,GP,,Procor Lpg Storage Inc.,100.0% - Procor Lpg Storage Inc.,,49.00159,-110.00785,,01-01-001-01W4M
ABGP0001938,Unknown,Sulmar Redwater,GP,,Unknown Operator/Address - Used By Field Surveillance,100.0% - Unknown Operator/Address - Used By Field Surveillance,,49.00159,-110.00785,,01-01-001-01W4M
ABGP0001939,Unknown,Burza Lynton,GP,,Unknown Operator/Address - Used By Field Surveillance,100.0% - Unknown Operator/Address - Used By Field Surveillance,,49.00159,-110.00785,,01-01-001-01W4M
ABGP0001940,Unknown,Syncrude,GP,,Syncrude Canada Ltd.,100.0% - Syncrude Canada Ltd.,,49.00159,-110.00785,,01-01-001-01W4M
ABGP0001941,Suspended,Chevron Ft Sask,GP,Chevron Ft Sask,Chevron Canada Limited,100.0% - Chevron Canada Limited,,53.74642,-113.16131,Gas Plant Sweet,02-14-055-22W4M
ABGP0001942,Suspended,Gibson Fort Sask,GP,Gibson Fort Sask,Gibson Energy Inc.,100.0% - Gibson Energy Inc.,,53.71732,-113.12788,Gas Plant Sweet,01-01-055-22W4M
ABGP0001943,Suspended,Mobil Procor Gx,GP,Procor Gx,Exxonmobil,100.0% - Exxonmobil Canada Energy,,49.00159,-110.00785,Gas Plant Sweet,01-01-001-01W4M
ABGP0001944,Suspended,Imperial East Edmonton Lpg,GP,East Edmonton Lpg,Imperial Oil Resources Limited,100.0% - Imperial Oil Resources Limited,,49.00159,-110.00785,Gas Plant Sweet,01-01-001-01W4M
ABGP0001945,Suspended,Amoco Pembina,GP,Pembina,Bp Canada Energy Group Ulc,100.0% - Bp Canada Energy Group Ulc,,53.16199,-114.9017,Gas Plant Sweet,13-24-048-07W5M
ABGP0001946,Suspended,Amoco Cranberry(Kemp River),GP,Chinchaga,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,1960-01-01,57.33863,-118.65604,Gas Plant Sweet,01-24-096-05W6M
ABGP0001947,Suspended,Voyager Bruce,GP,Voyager Bruce,Conocophillips Canada,100.0% - Conocophillips Canada Resources Corp.,,49.00159,-110.00785,Gas Plant Sweet,01-01-001-01W4M
ABGP0001950,Suspended,Gibson Hardisty,GP,Gibson Hardisty,Gibson Energy Inc.,100.0% - Gibson Energy Inc.,,52.63257,-111.26761,Gas Plant Sweet,11-20-042-09W4M
ABGP0001951,Suspended,Imperial Devon 1&2,GP,1 And 2,Imperial Oil Resources Limited,100.0% - Conifer Energy Inc.,,54.57197,-115.52196,Gas Plant Fractionation,15-25-064-11W5M
ABGP0001960,Active,Kanata Valhalla 13-21 Sour Gas Plant,GP,Valhalla,Csv Midstream Solutions Corp.,100.0% - Csv Midstream Solutions Corp.,1985-01-01,55.60398,-119.34316,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,13-21-076-09W6M
ABGP0001961,Suspended,Celsius Worsley,GP,Celsius Worsley,Enerplus Corporation,100.0% - Enerplus Corporation,,56.55851,-118.77645,Gas Plant Sweet,08-19-087-05W6M
ABGP0001962,Suspended,Aec Saddle Hills,GP,Saddle Hills,Ovintiv Canada Ulc,100.0% - Ovintiv Canada Ulc,,55.47654,-119.06433,Gas Plant Sweet,01-07-075-07W6M
ABGP0001963,Suspended,Newport Lathom,GP,Lathom,Harvest Operations Corp.,100.0% - Harvest Operations Corp.,,50.75889,-112.49605,Gas Plant Sweet,13-06-021-18W4M
ABGP0001964,Suspended,Puskwaskau 3-26-74-1W6,GP,Puskwaskau,Prairie Thunder Resources Ltd.,100.0% - Long Run Exploration Ltd.,1995-01-01,55.43342,-118.04167,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,03-26-074-01W6M
ABGP0001965,Active,Pancdn Verger,GP,Verger A,Torxen Energy Ltd.,87.5% - Torxen Energy Ltd.; 12.5% - Harvard International Resources Ltd.,,50.89362,-112.17223,Gas Plant Sweet,04-28-022-16W4M
ABGP0001966,Active,Mikwan 05-22-036-22W4 Gas Plant,GP,Mikwan,Axiom Oil And Gas Inc.,100.0% - Axiom Oil And Gas Inc.,1993-01-01,52.10517,-113.07514,Gas Plant Sweet,05-22-036-22W4M
ABGP0001967,Suspended,Cdn 88 Crossfield East,GP,Cdn 88 Crossfield East,Whitecap Resources Inc.,100.0% - Whitecap Resources Inc.,,51.61951,-114.07317,Gas Plant Sweet,16-33-030-01W5M
ABGP0001968,Suspended,Cdn Hunter Pedigree,GP,Cdn Hunter Pedigree,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,,57.74224,-119.99345,Gas Plant Sweet,13-01-101-13W6M
ABGP0001969,Active,Alder Flats 11-33 Gas Plant,GP,Alder Flats,Westbrick Energy Ltd.,100.0% - Westbrick Energy Ltd.,,52.9258,-115.10527,Gas Plant Sweet,11-33-045-08W5M
ABGP0001970,Active,Burlington Sand Creek,GP,Sandcreek,Cenovus Energy Inc.,76.8% - Cenovus Energy Inc.; 6.8% - Bellatrix Exploration Ltd.; 16.4% - Taqa North               ,,52.90581,-115.32434,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,06-25-045-10W5M
ABGP0001971,Suspended,Northrock Barrhead,GP,Barrhead,Blue Sky Resources Ltd.,100.0% - Blue Sky Resources Ltd.,1995-01-01,54.12838,-114.65746,Gas Plant Sweet,08-27-059-05W5M
ABGP0001972,Abandoned,Conoco Akuinu,GP,Akuinu River West,Paramount Resources Ltd.,100.0% - Paramount Resources (Acl) Ltd.,1997-01-01,54.65403,-114.53017,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,05-27-065-04W5M
ABGP0001973,Suspended,Devon Muskwa (Teepee Ck),GP,Teepee,Sequoia Resources Corp.,100.0% - Sequoia Resources Corp.,1996-01-01,56.52735,-114.07012,Gas Plant Acid Gas Injection,06-10-087-01W5M
ABGP0001974,Abandoned,Pedigree,GP,Fontas,Nuvista Energy Ltd.,100.0% - Nuvista Energy Ltd.,1997-01-01,57.87683,-119.73626,Gas Plant Acid Gas Injection,02-28-102-11W6M
ABGP0001975,Suspended,Paramount Bistcho Lake,GP,Bistcho Lake,Tallahassee Exploration Inc.,50.0% - Husky Oil Operations Limited; 50.0% - Tallahassee Exploration Inc.,1997-01-01,59.64067,-118.30659,Gas Plant Sulphur Recovery,06-32-122-02W6M
ABGP0001976,Suspended,Windfall 01-15-062-15W5 Gas Plant,GP,Sakwatamau,Axiom Oil And Gas Inc.,100.0% - Axiom Oil And Gas Inc.,,54.35919,-116.15324,Gas Plant Sweet,01-15-062-15W5M
ABGP0001977,Suspended,Altagas Mosquito Creek,GP,Mosquito Creek,Pivotal Energy Partners Inc.,100.0% - Pivotal Energy Partners Inc.,1998-01-01,50.22728,-113.53774,Gas Plant Sweet,07-05-015-26W4M
ABGP0001978,Abandoned,Ncl Zama,GP,Ncl Zama,Novagas Canada Ltd.,100.0% - Paramount Resources Ltd.,,59.06436,-118.8802,Gas Plant Sulphur Recovery,13-12-116-06W6M
ABGP0001979,Suspended,Keywest Wayne-Rosedale 7-6,GP,Wayne Redland,Harvest Operations Corp.,100.0% - Harvest Operations Corp.,1997-01-01,51.45226,-112.94011,Gas Plant Sweet,07-06-029-21W4M
